Rok,Partia,Prezydent,Premier
2002,'Sojusz Lewicy Demokratycznej (SLD)','Aleksander Kwaśniewski','Leszek Miller'
2003,'Sojusz Lewicy Demokratycznej (SLD)','Aleksander Kwaśniewski','Leszek Miller'
2004,'Sojusz Lewicy Demokratycznej (SLD)','Aleksander Kwaśniewski','Leszek Miller'
2005,'Sojusz Lewicy Demokratycznej (SLD)','Aleksander Kwaśniewski','Marek Belka'
2006,'Platforma Obywatelska (PO)','Lech Kaczyński','Kazimierz Marcinkiewicz'
2007,'Platforma Obywatelska (PO)','Lech Kaczyński','Jarosław Kaczyński'
2008,'Platforma Obywatelska (PO)','Lech Kaczyński','Donald Tusk'
2009,'Platforma Obywatelska (PO)','Lech Kaczyński','Donald Tusk'
2010,'Platforma Obywatelska (PO)','Lech Kaczyński','Donald Tusk'
2011,'Platforma Obywatelska (PO)','Bronisław Komorowsk','Donald Tusk'
2012,'Platforma Obywatelska (PO)','Bronisław Komorowsk','Donald Tusk'
2013,'Platforma Obywatelska (PO)','Bronisław Komorowsk','Donald Tusk'
2014,'Platforma Obywatelska (PO)','Bronisław Komorowsk','Donald Tusk'
2015,'Prawo i Sprawiedliwość (PiS)','Bronisław Komorowsk','Ewa Kopacz'
2016,'Prawo i Sprawiedliwość (PiS)','Andrzej Duda','Beata Szydło '
2017,'Prawo i Sprawiedliwość (PiS)','Andrzej Duda','Beata Szydło '
2018,'Prawo i Sprawiedliwość (PiS)','Andrzej Duda','Mateusz Morawiecki'
2019,'Prawo i Sprawiedliwość (PiS)','Andrzej Duda','Mateusz Morawiecki'
2020,'Prawo i Sprawiedliwość (PiS)','Andrzej Duda','Mateusz Morawiecki'
2021,'Prawo i Sprawiedliwość (PiS)','Andrzej Duda','Mateusz Morawiecki'
2022,'Prawo i Sprawiedliwość (PiS)','Andrzej Duda','Mateusz Morawiecki'